Country;Minimum wage per hour in US$;Minimum wage per hour in €;Data source;Year;Notes
Algeria;0,85;0,787037037037037;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2020;latest 
Argentina;4,63;4,28703703703704;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2023;
Australia;16,08;14,8888888888889;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2022;
Austria;9,28;8,59259259259259;https://wageindicator.org/salary/minimum-wage/austria;2023;"calculated manually based on monthly wage ""https://www.thecalculatorsite.com/finance/calculators/salary-to-hourly.php"""
Bangladesh;0,36;0,333333333333333;https://www.timedoctor.com/blog/average-salary-in-bangladesh/#:~:text=The%20minimum%20wage%20in%20Bangladesh,(0.36%20USD)%20per%20hour.;2023;
Belgium;12,15;11,25;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2022;
Brazil;1,39;1,28703703703704;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2023;
Bulgaria;2,86;2,64814814814815;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2023;
Canada;11,6;10,7407407407407;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2022;
Chile;2,77;2,56481481481481;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2023;
China;2,12;1,96296296296296;https://take-profit.org/en/statistics/wages/china/#:~:text=Minimum%20Wages%20in%20China%20remained,minimum%20was%20690%20CNY%2FMonth.;2023;calculated manually based on monthly minumum wage
Colombia;1,81;1,67592592592593;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2023;
Costa Rica;2,72;2,51851851851852;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2023;
Croatia;4,39;4,06481481481481;https://www.timedoctor.com/blog/average-salary-in-croatia/#:~:text=Minimum%20wage%20in%20Croatia,the%20first%20quarter%20of%202023.;2023;calculated manually based on monthly minumum wage
Czech Republic;4,17;3,86111111111111;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2022;
Denmark;21,28;19,7037037037037;https://www.minimum-wage.org/international/denmark;2023;calculated manually based on yearly average wage. No law in Denmark mandates minimum wage. 
